currency_pair,last,lowest_ask,highest_bid,change_percentage,change_utc0,change_utc8,base_volume,quote_volume,high_24h,low_24h,etf_net_value,etf_pre_net_value,etf_pre_timestamp,etf_leverage
FTT3L_USDT,0.26038,0.26316,0.25733,-64.43,-47.66,-64.19,606295.429,251057.28121877,1.05,0.16939,0.26085885,0.18965861,1706758560,1.953406607622189
PROS_ETH,0.0002199,0.0002218,0.0002177,1.24,0.68,1.28,28064.75522886,6.131195640568393,0.0002232,0.0002144
CHZ_USDT,0.09865,0.0986,0.09857,-1.55,-1.07,-1.3,8860023.8852961,884242.9474236,0.10238,0.0973
PORTX_USDT,0.00501,0.005058,0.005001,-0.75,-1.26,-0.33,4354466.7721969,21977.253100798,0.005164,0.005
REVV_ETH,0.00000466,0.00000478,0.00000463,-0.42,0.64,0.43,720179.0306115416,3.341853483051262017,0.0000048,0.00000451
BNB3L_USDT,0.1093,0.1094,0.1085,-6.09,1.11,-5.2,6957.528,783.635848,0.1164,0.1078,0.10891041,0.11350986,1706284800,2.346545323913304
MDS_USDT,0.00017678,0.0001807,0.00017435,-0.4,-0.59,-0.75,48728356.1825235839,8663.833484146076774603,0.00019058,0.00017322
EOS5L_USDT,0.12164385,0.12206274,0.12122408,-10.85,-2.58,-5.91,1336266.977,163602.70163648,0.13668152,0.1111279,0.12140217,0.12881604,1706716800,5.212121212121213
OPUL_ETH,0.000041299,0.000041585,0.000040956,-3.69,-1.9,-2.28,148937.37787144,6.29579036477697897,0.000044224,0.000040907
MDA_USDT,0.0391,0.0396,0.0385,-3.69,-1.51,4.54,617125.69659763,23856.192396557,0.0439,0.037
DEFILAND_USDT,0.0022662,0.0022872,0.0022477,-3.93,6.37,-3.68,18414869.163722,41738.399008088,0.0027501,0.0020113
WING_ETH,0.00358,0.00362,0.00355,0.84,0.56,2.87,1736.038780702,6.1429759410529,0.00365,0.00347
RBN_ETH,0.0001876,0.0001908,0.000185,-6.34,-0.47,-4.52,28679.97004175,5.563539469060969,0.0002015,0.0001835
RUNE_USDT,4.51,4.504,4.502,-4.12,-3.15,-5.56,223445.70103198,1052492.1725811,4.945,4.458
ASD_USDT,0.04996,0.05055,0.04946,1.09,0.78,1.56,448302.61665432,22138.337687522,0.05064,0.04875
OP_ETH,0.0012681,0.0012699,0.0012668,-2.58,-0.4,-1.75,8231.72312652,10.569160100978418,0.0013105,0.001257
HAO_ETH,0.000000885,0.000000897,0.000000874,0.79,-2.85,-4.22,5943256.17339927,5.4293842859618064,0.000000944,0.000000871
USDT_TRY,30.71,30.77,30.75,0.35,0.19,0.32,325927.02767657,9986182.7405225,30.79,30.55
CIR_ETH,0.0000311,0.0000318,0.0000308,-3.05,-0.16,0.25,119864.8503179536,3.771168785790681321,0.00003342,0.00003031
STBU_ETH,0.000037559,0.00003766,0.000037428,0.99,-0.81,0.9,296990.961824152,10.9773033595025706774,0.000039242,0.00002911
PLAY_USDT,0.002195,0.0022,0.002181,-10.4,-4.1,-8.27,13456919.034716,31362.324304006,0.002516,0.002118
JFI_USDT,7.644,7.805,7.5,1.35,0.83,2.08,1743.5359417525,13247.333897704,7.906,7.345
LTC_SGD,0,,,0,0,0,0,0,0,0
DIMO_USDT,0,0.052,,0,0,0,0,0,0,0
IHC_USDT,0.00002454,0.00002521,0.00002418,-1.04,-2.23,-0.92,319880040.2396919,7944.617600059075933,0.00002534,0.00002416
LRC_USDT,0.2281,0.2281,0.2278,-4.28,-0.99,-2.35,230053.40375182,53455.656563958,0.2393,0.225
AVAX_USDC,33,33.06,32.9,-5.14,-0.45,-6.22,610.65276567,20866.715259963,35.49,32.28
FRM_USDT,0.05022,0.05032,0.05006,-2.04,-1.06,-2.56,1358132.5794806,70021.946650369,0.054,0.04995
LIT_TRY,23.6568,23.8243,23.4996,-4.75,-0.79,-1.64,9061.06421029,218333.96876337,24.9754,23.3942
GLM_ETH,0.0000894,0.0000902,0.0000886,-1.21,-1.1,-0.22,69559.2811760363,6.26873004600681758,0.0000915,0.0000891
JGN_ETH,0.0000136,0.0000138,0.0000135,3.03,0.74,4.61,255746.5132235322,3.41364662016640599,0.0000138,0.000013
LOWB_USDT,0.000008226,0.000008252,0.000008218,-2.51,-0.59,-1.16,2533827717.336,21148.251505809,0.000008746,0.000008176
PINE_USDT,0.016914,0.016915,0.016914,-2.36,-2.24,-2.65,1427403.2143174,24746.489597392,0.017834,0.016334
SLND_ETH,0.0007916,0.0008034,0.000781,-9.39,-4.32,-3.59,5166.60699934,4.355221273857663,0.0008952,0.000734
SCLP_ETH,0.00009961,0.00010089,0.00009852,2.52,0.83,5.87,64356.31533898,6.2056606160549083,0.00010167,0.00009168
DYP_ETH,0.00001599,0.00001614,0.00001587,5.05,0.06,1.65,398594.6240813486,6.296817981757873171,0.00001625,0.00001521
XDB_USDT,0.0004147,0.000416,0.0004126,-4.09,-1.09,-3.67,192190382.38334,82694.728488288,0.0004559,0.0004072
RED_ETH,0.000000801,0.000000825,0.000000783,1.77,0.62,1.52,2849502.6869486739,2.250275670968734568,0.000000818,0.00000077
SOL_USDT,94.68,94.68,94.66,-6.09,-2.35,-6.77,260412.00098599,25610885.924904,102.74,93.12
DHB_USDT,0.0008821,0.0009042,0.0008567,0,0,0,0,0,0,0
TAO_USDT,451.4,451.4,451.1,1.48,-3.85,2.21,9213.88624261,4202203.9260653,482.3,428.1
SHIBAI_USDT,0.00000000000572,0.00000000000573,0.00000000000571,-3.54,-1.2,-5.29,4.5895989351713e+15,27043.935335605,0.00000000000623,0.00000000000558
OOKI_USDT,0.001865,0.001869,0.001861,-3.76,0.7,-1.94,21557136.071577,40765.062823715,0.001942,0.001824
NULS_ETH,0.0000948,0.0000962,0.0000942,-2.46,-1.25,-0.83,62134.0233300928,5.98196304979348537,0.0000985,0.0000944
IQT_USDT,0.4021,0.4029,0.4009,0.67,0.77,0.87,349764.47313134,139393.81246332,0.403,0.3944
ZIL_USDT,0.01986,0.01986,0.01984,-2.55,-0.35,-1.34,2327231.72,46543.1431675,0.02044,0.01958
KINGSHIB_USDT,0.004121,0.004121,0.00412,-13.67,-3.46,-13.76,4623112.1817021,20848.184069083,0.004802,0.004
ETH2_ETH,0.999,0.9999,0.9978,0.03,-0.02,0.05,8.5012694047,8.48883382817025,1.0002,0.997
KYVE_USDT,0.13788,0.13792,0.13788,-10.86,-0.84,-2.05,349870.25451901,50443.671552835,0.15621,0.125
VDR_USDT,0.0007048,0.0007061,0.0007038,5.09,-3.38,4.26,29766417.371805,20634.313248301,0.0007398,0.0006602
SFM_USDT,0.00003876,0.00003896,0.00003857,0.23,-2.3,-1.35,521028169.55545,20554.915531459,0.00004073,0.00003854
ACE_TRY,280.45,282.11,281.68,-0.72,-3.22,-0.88,750.39291905,215292.44741636,294.59,279.73
OKT_ETH,0.00692,0.00705,0.00688,-0.14,-1.14,-0.71,884.6373301637,6.160338070077243,0.00706,0.00688
COOK_USDT,0.00032217,0.00032361,0.00031931,-1.42,0.6,-0.36,68552537.697091,22196.171228631,0.00033232,0.00031695
SPAY_USDT,0.03642,0.03664,0.03626,-4.63,-0.08,-0.08,658574.05451533,24212.803686867,0.0385,0.03562
TURBO_USDT,0.00032716,0.0003269,0.00032562,-7.86,-2,-8.14,1011989776.406,344871.16773572,0.00035734,0.00031721
DF_ETH,0.0000171,0.0000174,0.000017,0,-0.58,1.18,350619.4214722468,5.98227887941737506,0.0000174,0.0000167
RENBTC_BTC,0,8.9999,0.0879,0,0,0,0,0,0,0
BABYDOGE_USDT,0.0000000011066,0.0000000011085,0.0000000011051,-1.63,-0.26,-0.72,2.2030429705876e+14,245052.21202081,0.0000000011333,0.0000000010901
BBF_USDT,0.09759,0.09846,0.09652,-3.79,-4.67,-6.29,249681.19936536,25297.802738404,0.10532,0.09502
WWY_USDT,0.007775,0.007807,0.007752,-1.03,-1.23,-0.39,17356886.229581,136012.13329616,0.008033,0.00773
OKB3S_USDT,1.40622,1.37601,1.36017,19.62,8.47,15.95,377.74,487.8017522,1.41731,1.17555,1.36810056,1.22914811,1706716800,1.968464789232572
ARES_ETH,0.0000003853,0.0000003893,0.0000003803,-3.21,0.41,-1.95,15147548.4741502959,5.83463623464534444597,0.0000004073,0.0000001852
LBK_USDT,0.009657,0.009664,0.009657,-2.74,-0.4,-0.1,2342692.8046777,22720.495570835,0.010051,0.00949
DXGM_USDT,0.002686,0.002691,0.002681,-0.66,-0.77,-4.03,10399131.650183,28018.846793417,0.0028,0.002575
VLXPAD_USDT,0.006671,0.006703,0.006627,-2.29,-0.29,0.24,3456237.7182407,23205.906292009,0.006896,0.0066
GNS_USDT,4.47,4.468,4.464,-5.69,-1.01,-3.74,581537.92690797,2675921.7556216,4.767,4.453
GAL3L_USDT,0.612,0.5992,0.5933,-3.24,3.3,-4.43,4040.05,2577.971641,0.6624,0.5908,0.59629258,0.63388509,1706716800,2.3744221879815095
ODDZ_USDT,0.012668,0.012732,0.012625,-8.02,1.09,0.02,2382958.9118914,30703.650186766,0.013946,0.012328
FINE_ETH,0.000001674,0.000001721,0.000001652,-0.35,1.76,0.48,1131285.9702490369,1.8834635708348389994,0.000001719,0.000001597
OBI_USDT,0.009379,0.009397,0.009354,-9.79,-1.36,0.86,3911644.7479754,37354.604134483,0.01041,0.009082
GLMR3L_USDT,1.4731,1.4747,1.453,-5.07,-0.09,-8.36,378.215,566.8516965,1.6075,1.4731,1.45830397,1.58959963,1706716800,2.3976833976833976
IDEA_USDT,0.0016791,0.0016859,0.0016658,-3.19,-1.23,-0.7,81179632.550675,138702.70951459,0.0018,0.0016431
XVG_BTC,0.000000074,0.000000074,0.000000073,-2.63,0,1.36,643471.0609843524,0.0476262773250294953,0.000000076,0.000000073
BONK_TRY,0.0003181,0.0003188,0.0003176,-6.33,-2.48,-4.76,607994107.40691,200483.55995369,0.0003428,0.0003132
AVA_USDT,0.5675,0.5687,0.5666,-2.6,-0.28,-1.68,32829.425117105,18794.196127782,0.5844,0.5627
NFP_USDT,0.5208,0.5201,0.5187,-8,-1.69,-4.47,447506.86791488,242505.86986476,0.5744,0.513
